bpmrp0,Prot
0.45378,0.61989
0.49683,0.76294
0.53987,1.0490
0.57983,1.3351
0.61364,1.8120
0.63208,2.2411
0.65358,2.8134
0.68432,3.0995
0.70891,3.4332
0.73964,4.0054
0.77037,4.3869
0.81955,4.9591
0.85951,5.3406
0.89948,5.6744
0.93637,6.0559
0.96095,6.5327
1.0286,7.1526
1.0778,7.7248
1.1300,8.2016
1.1792,8.6308
1.2284,8.9646
1.3022,9.2507
1.3545,9.2507
1.4098,9.3460
1.4713,9.4891
1.5205,9.6798
1.5636,9.8229
1.6374,10.061
1.6896,10.204
1.7450,10.109
1.8158,9.8229
1.8527,9.5368
1.9050,9.3937
1.9542,9.2507
1.9911,9.1553
2.0557,9.1553
2.1126,8.9884
2.1725,8.8454
2.2218,8.5354
2.2679,7.9155
2.3264,7.3910
2.3725,6.7234
2.4187,6.2466
2.4710,5.8174
2.5202,5.4360
2.5663,5.0545
2.6125,4.6253
2.6771,4.5777
2.7263,4.2916
2.7663,3.6717
2.8002,2.9087
2.8402,2.5749
2.9017,2.2888
2.9447,2.0504
3.0124,2.0504
3.0801,2.0981
3.1139,2.2411
3.1646,2.6226
3.2169,2.3127
3.2677,1.8597
3.3077,1.5259
