cluster_name;adopted_name
Alessi 24;ASCC 89
Alessi 31;ASCC 92
Alessi 33;ASCC 32
Alessi 34;ASCC 44
Alessi 37;ASCC 124
Alessi 40;ASCC 97
Alessi 43;ASCC 50
Alessi 44;ASCC 106
Alessi J2327+55;ASCC 129
Alessi-Teutsch 3;ASCC 42
Alessi-Teutsch 5;ASCC 118
Alessi-Teutsch 7;ASCC 47
Alessi-Teutsch 8;ASCC 68
Alessi-Teutsch 9;ASCC 10
Alessi-Teutsch 11;ASCC 112
Alessi-Teutsch 12;ASCC 86
Andrews-Lindsay 1;van den Bergh - Hagen 144
Basel 2;King 19
Basel 3;Markarian 50
Basel 9;Ruprecht 148
Basel 19;Hogg 16
Berkeley 3;Stock 24
Berkeley 38;Ruprecht 34
Berkeley 40;Ruprecht 37
Berkeley 41;Ruprecht 42
Berkeley 46;NGC 6791
Berkeley 48;NGC 6827
Berkeley 74;Ruprecht 4
Biurakan 3;Markarian 50
Biurakan 4;Stock 7
Biurakan 5;Markarian 38
Biurakan 7;Berkeley 31
Biurakan 8;Berkeley 32
Biurakan 9;Berkeley 30
Biurakan 10;Berkeley 28
Biurakan 11;Berkeley 27
Biurakan 12;Berkeley 26
Biurakan 13;Berkeley 34
Czernik 22;Basel 4
Czernik 28;King 23
Collinder 26;IC 1805
Collinder 53;NGC 1624
Collinder 105;Trumpler 5
Collinder 143;NGC 2384
Collinder 155;Melotte 71
Collinder 184;NGC 2587
Collinder 190;NGC 2635
Collinder 241;Trumpler 18
Collinder 470;IC 5146
Dolidze 7;Berkeley 87
ESO96-SC04;van den Bergh - Hagen 144
Ferrero 1;ASCC 96
Ferrero 11;ASCC 22
Haffner 1;Tombaugh 1
Haffner 2;Tombaugh 2
Haffner 12;NGC 2425
Harvard 1;Trumpler 3
Harvard 2;Trumpler 9
Harvard 3;NGC 2669
Harvard 4;NGC 3330
Harvard 5;Collinder 258
Harvard 6;Collinder 261
Harvard 7;Trumpler 20
Harvard 8;Collinder 268
Harvard 11;NGC 6167
Harvard 12;Trumpler 24
Harvard 14;Trumpler 25
Harvard 15;Trumpler 26
Harvard 17;Trumpler 29
Harvard 18;Trumpler 30
Harvard 19;Trumpler 32
Herschel 1;ASCC 41
IC 1396;Trumpler 37
IC 4291;Pismis 18
King 3;NGC 609
King 22;Berkeley 18
King 24;Czernik 32
King 27;Czernik 40
Lyngå 10;Pismis 23
Markarian 6;Stock 7
Markarian 18;Collinder 205
Melotte 15;IC 1805
Melotte 89;NGC 2635
Melotte 186;Collinder 359
NGC 2982;Ruprecht 80
NGC 6749;Berkeley 42
NGC 6874;Basel 6
NGC 6996;NGC 6997
NGC 7423;Berkeley 57
NGC 7822;Berkeley 59
Pismis 6;NGC 2645
Pismis 9;NGC 2659
Pismis 13;NGC 2866
Ruprecht 7;Berkeley 33
Ruprecht 109;NGC 5381
Ruprecht 166;NGC 5120
Stock 9;NGC 1931
Stock 22;NGC 433
Teutsch 35;ASCC 103
Teutsch 38;ASCC 49
Tombaugh 3;IC 166
Trumpler 4;IC 2157
Trumpler 8;NGC 2479
Trumpler 36;IC 1311
vdB-Hagen 1;Haffner 7
vdB-Hagen 30;NGC 2587
vdB-Hagen 39;NGC 2635
vdB-Hagen 44;IC 2395
vdB-Hagen 60;Pismis 11
vdB-Hagen 90;Bochum 8
vdB-Hagen 157;Lyngå 2
vdB-Hagen 167;NGC 5764
vdB-Hagen 180;Trumpler 23
vdB-Hagen 202;Ruprecht 122
vdB-Hagen 218;NGC 6318
vdB-Hagen 252;Ruprecht 134
Waterloo 4;NGC 2645
